gene,Time,group,Signal,P-Value,Tissue,Replicate,,
Hsp90-6,24,Heat,3803.76,0.002,,,,
Hsp90-6,24,Heat,4068.51,0.002,,,,
Hsp90-4,0.5,Control,21061.24,0.002,,,,
Hsp90-4,0.5,Control,21646.35,0.002,,,,
Hsp90-4,1,Control,23234.75,0.002,,,,
Hsp90-4,1,Control,22933.15,0.002,,,,
Hsp90-4,3,Control,25032.82,0.002,,,,
Hsp90-4,3,Control,25619.78,0.002,,,,
Hsp90-4,6,Control,19209.25,0.002,,,,
Hsp90-4,6,Control,20615.04,0.002,,,,
Hsp90-4,12,Control,31441.86,0.002,,,,
Hsp90-4,12,Control,31405.89,0.002,,,,
Hsp90-4,24,Control,27872.35,0.002,,,,
Hsp90-4,24,Control,24915.84,0.002,,,,
Hsp90-4,0.5,Heat,28199.19,0.002,,,,
Hsp90-4,0.5,Heat,30072.43,0.002,,,,
Hsp90-4,1,Heat,45933.40,0.002,,,,
Hsp90-4,1,Heat,42579.75,0.002,,,,
Hsp90-4,3,Heat,42993.89,0.002,,,,
Hsp90-4,3,Heat,42329.38,0.002,,,,
Hsp90-4,6,Heat,14096.71,0.002,,,,
Hsp90-4,6,Heat,13700.01,0.002,,,,
Hsp90-4,12,Heat,9537.77,0.002,,,,
Hsp90-4,12,Heat,14754.23,0.002,,,,
Hsp90-4,24,Heat,13724.50,0.002,,,,
Hsp90-4,24,Heat,16422.54,0.002,,,,
Hsp90-5,0.5,Control,2520.38,0.002,,,,
Hsp90-5,0.5,Control,2759.32,0.002,,,,
Hsp90-5,1,Control,2417.85,0.002,,,,
Hsp90-5,1,Control,2259.94,0.002,,,,
Hsp90-5,3,Control,2666.60,0.002,,,,
Hsp90-5,3,Control,2555.59,0.002,,,,
Hsp90-5,6,Control,2221.65,0.002,,,,
Hsp90-5,6,Control,2042.29,0.002,,,,
Hsp90-5,12,Control,3365.03,0.002,,,,
Hsp90-5,12,Control,2959.48,0.002,,,,
Hsp90-5,24,Control,2831.76,0.002,,,,
Hsp90-5,24,Control,2889.16,0.002,,,,
Hsp90-5,0.5,Heat,3204.32,0.002,,,,
Hsp90-5,0.5,Heat,3643.92,0.002,,,,
Hsp90-5,1,Heat,10298.53,0.002,,,,
Hsp90-5,1,Heat,9810.09,0.002,,,,
Hsp90-5,3,Heat,10818.18,0.002,,,,
Hsp90-5,3,Heat,9896.55,0.002,,,,
Hsp90-5,6,Heat,1601.63,0.002,,,,
Hsp90-5,6,Heat,1840.66,0.002,,,,
Hsp90-5,12,Heat,2105.46,0.002,,,,
Hsp90-5,12,Heat,2618.75,0.002,,,,
Hsp90-5,24,Heat,2131.14,0.002,,,,
Hsp90-5,24,Heat,2697.74,0.002,,,,
Hsp90-7,0.5,Control,12586.75,0.002,,,,
Hsp90-7,0.5,Control,12421.87,0.002,,,,
Hsp90-7,1,Control,13408.79,0.002,,,,
Hsp90-7,1,Control,14071.53,0.002,,,,
Hsp90-7,3,Control,13055.56,0.002,,,,
Hsp90-7,3,Control,13233.03,0.002,,,,
Hsp90-7,6,Control,12154.83,0.002,,,,
Hsp90-7,6,Control,12433.17,0.002,,,,
Hsp90-7,12,Control,14757.44,0.002,,,,
Hsp90-7,12,Control,15705.07,0.002,,,,
Hsp90-7,24,Control,12537.39,0.002,,,,
Hsp90-7,24,Control,13673.14,0.002,,,,
Hsp90-7,0.5,Heat,13119.12,0.002,,,,
Hsp90-7,0.5,Heat,13206.27,0.002,,,,
Hsp90-7,1,Heat,19415.02,0.002,,,,
Hsp90-7,1,Heat,18412.39,0.002,,,,
Hsp90-7,3,Heat,19792.98,0.002,,,,
Hsp90-7,3,Heat,20036.58,0.002,,,,
Hsp90-7,6,Heat,12500.50,0.002,,,,
Hsp90-7,6,Heat,12638.25,0.002,,,,
Hsp90-7,12,Heat,11669.26,0.002,,,,
Hsp90-7,12,Heat,13238.68,0.002,,,,
Hsp90-7,24,Heat,12912.55,0.002,,,,
Hsp90-7,24,Heat,13651.65,0.002,,,,
Hsp90-1,0.5,Control,2779.80,0.002,,,,
Hsp90-1,0.5,Control,3078.70,0.002,,,,
Hsp90-1,1,Control,2245.88,0.002,,,,
Hsp90-1,1,Control,1574.86,0.002,,,,
Hsp90-1,3,Control,5619.07,0.002,,,,
Hsp90-1,3,Control,5223.07,0.002,,,,
Hsp90-1,6,Control,2570.38,0.002,,,,
Hsp90-1,6,Control,2320.54,0.002,,,,
Hsp90-1,12,Control,2943.51,0.002,,,,
Hsp90-1,12,Control,3137.88,0.002,,,,
Hsp90-1,24,Control,5295.78,0.002,,,,
Hsp90-1,24,Control,4379.23,0.002,,,,
Hsp90-1,0.5,Heat,16530.76,0.002,,,,
Hsp90-1,0.5,Heat,17844.97,0.002,,,,
Hsp90-1,1,Heat,46045.37,0.002,,,,
Hsp90-1,1,Heat,42659.43,0.002,,,,
Hsp90-1,3,Heat,53521.54,0.002,,,,
Hsp90-1,3,Heat,49875.16,0.002,,,,
Hsp90-1,6,Heat,1978.62,0.002,,,,
Hsp90-1,6,Heat,4338.56,0.002,,,,
Hsp90-1,12,Heat,5813.56,0.002,,,,
Hsp90-1,12,Heat,6257.87,0.002,,,,
Hsp90-1,24,Heat,2348.94,0.002,,,,
Hsp90-1,24,Heat,2764.66,0.002,,,,
Hsp90-2,0.5,Control,14882.83,0.002,,,,
Hsp90-2,0.5,Control,15672.65,0.002,,,,
Hsp90-2,1,Control,14921.25,0.002,,,,
Hsp90-2,1,Control,16142.64,0.002,,,,
Hsp90-2,3,Control,18226.75,0.002,,,,
Hsp90-2,3,Control,17850.71,0.002,,,,
Hsp90-2,6,Control,15442.34,0.002,,,,
Hsp90-2,6,Control,15405.19,0.002,,,,
Hsp90-2,12,Control,19663.31,0.002,,,,
Hsp90-2,12,Control,20127.31,0.002,,,,
Hsp90-2,24,Control,18273.54,0.002,,,,
Hsp90-2,24,Control,17253.19,0.002,,,,
Hsp90-2,0.5,Heat,22739.20,0.002,,,,
Hsp90-2,0.5,Heat,25787.74,0.002,,,,
Hsp90-2,1,Heat,45768.51,0.002,,,,
Hsp90-2,1,Heat,39784.70,0.002,,,,
Hsp90-2,3,Heat,45372.18,0.002,,,,
Hsp90-2,3,Heat,44699.21,0.002,,,,
Hsp90-2,6,Heat,8873.63,0.002,,,,
Hsp90-2,6,Heat,10674.17,0.002,,,,
Hsp90-2,12,Heat,9296.95,0.002,,,,
Hsp90-2,12,Heat,10410.46,0.002,,,,
Hsp90-2,24,Heat,11046.33,0.002,,,,
Hsp90-2,24,Heat,14394.03,0.002,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
